FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
30,$7.94 ,$9.18 ,$10.08 ,$11.86 ,$15.35 ,$18.24 ,$21.92 ,$61.86 ,$61.86 ,$5.50 ,$61.86 ,$29.25 ,$41.55 ,$35.26 ,$39.97 ,$7.85 ,$35.26 ,$39.97 
31,$8.09 ,$9.37 ,$10.34 ,$12.18 ,$15.79 ,$18.79 ,$22.58 ,$63.42 ,$63.42 ,$5.56 ,$63.42 ,$29.90 ,$42.45 ,$36.19 ,$41.03 ,$8.02 ,$36.19 ,$41.03 
32,$8.17 ,$9.57 ,$10.61 ,$12.52 ,$16.24 ,$19.33 ,$23.26 ,$64.79 ,$64.79 ,$5.60 ,$64.79 ,$30.55 ,$43.45 ,$37.07 ,$42.00 ,$8.17 ,$37.07 ,$42.00 
33,$8.33 ,$9.78 ,$10.89 ,$12.87 ,$16.67 ,$19.89 ,$23.92 ,$66.16 ,$66.16 ,$5.66 ,$66.16 ,$31.15 ,$44.40 ,$37.93 ,$42.91 ,$8.33 ,$37.93 ,$42.91 
34,$8.48 ,$10.00 ,$11.15 ,$13.20 ,$17.12 ,$20.44 ,$24.58 ,$67.62 ,$67.62 ,$5.70 ,$67.62 ,$31.80 ,$45.30 ,$38.76 ,$43.77 ,$8.48 ,$38.76 ,$43.77 
35,$8.63 ,$10.23 ,$11.43 ,$13.53 ,$17.56 ,$21.00 ,$25.25 ,$69.28 ,$69.28 ,$5.76 ,$69.28 ,$32.55 ,$46.20 ,$39.50 ,$44.57 ,$8.62 ,$39.50 ,$44.57 
36,$8.78 ,$10.42 ,$11.67 ,$13.86 ,$18.00 ,$21.55 ,$25.91 ,$70.92 ,$70.92 ,$5.82 ,$70.92 ,$33.15 ,$47.15 ,$40.18 ,$45.31 ,$8.78 ,$40.18 ,$45.31 
37,$8.94 ,$10.64 ,$11.94 ,$14.20 ,$18.40 ,$22.10 ,$26.56 ,$72.57 ,$72.57 ,$5.86 ,$72.57 ,$33.85 ,$48.05 ,$40.86 ,$46.04 ,$8.94 ,$40.86 ,$46.04 
38,$9.08 ,$10.84 ,$12.20 ,$14.54 ,$18.82 ,$22.65 ,$27.20 ,$74.30 ,$74.30 ,$5.91 ,$74.30 ,$34.50 ,$48.90 ,$41.54 ,$46.78 ,$9.08 ,$41.54 ,$46.78 
39,$9.21 ,$11.05 ,$12.47 ,$14.86 ,$19.23 ,$23.19 ,$27.82 ,$75.76 ,$75.76 ,$5.95 ,$75.76 ,$35.10 ,$49.70 ,$42.24 ,$47.51 ,$9.22 ,$42.24 ,$47.51 
40,$9.35 ,$11.29 ,$12.74 ,$15.20 ,$19.64 ,$23.75 ,$28.45 ,$77.51 ,$77.51 ,$6.00 ,$77.51 ,$35.85 ,$50.55 ,$42.91 ,$48.32 ,$9.34 ,$42.91 ,$48.32 
41,$9.48 ,$11.48 ,$12.99 ,$15.54 ,$20.05 ,$24.30 ,$29.07 ,$79.15 ,$79.15 ,$6.11 ,$79.15 ,$36.45 ,$51.45 ,$43.61 ,$49.17 ,$9.49 ,$43.61 ,$49.17 
42,$9.62 ,$11.69 ,$13.25 ,$15.87 ,$20.43 ,$24.85 ,$29.70 ,$80.80 ,$80.80 ,$6.16 ,$80.80 ,$37.05 ,$52.25 ,$44.30 ,$50.04 ,$9.61 ,$44.30 ,$50.04 
43,$9.75 ,$11.90 ,$13.51 ,$16.21 ,$20.82 ,$25.39 ,$30.33 ,$82.45 ,$82.45 ,$6.22 ,$82.45 ,$37.70 ,$53.15 ,$44.96 ,$50.90 ,$9.75 ,$44.96 ,$50.90 
