FedEx Express U.S. Package Standard List Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
148,$168.72 ,$239.76 ,$378.88 ,$399.60 ,$435.12 ,$451.40 ,$469.16 ,$476.56 ,-,$321.16 
149,$169.86 ,$241.38 ,$381.44 ,$402.30 ,$438.06 ,$454.45 ,$472.33 ,$479.78 ,-,$323.33 
150,$171.00 ,$243.00 ,$384.00 ,$405.00 ,$441.00 ,$457.50 ,$475.50 ,$483.00 ,-,$325.50 


Hundredweight/Per-Pound Rates (multiply by total shipment weight),,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
100-499,$1.14 ,$1.62 ,$2.56 ,$2.70 ,$2.94 ,$3.05 ,$3.17 ,$3.22 ,-,$2.17 
500-999,$1.12 ,$1.60 ,$2.54 ,$2.68 ,$2.92 ,$3.03 ,$3.15 ,$3.20 ,-,$2.15 
1000-1999,$1.10 ,$1.58 ,$2.52 ,$2.66 ,$2.90 ,$3.01 ,$3.13 ,$3.18 ,-,$2.13 
2000+,$1.08 ,$1.56 ,$2.50 ,$2.64 ,$2.88 ,$2.99 ,$3.11 ,$3.16 ,-,$2.11 

See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
