FedEx Express U.S. Package Standard List Rates: FedEx Express Saver®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
120,$76.80 ,$88.80 ,$110.40 ,$141.60 ,$190.80 ,$207.60 ,$230.40 ,-,-,-
121,$77.44 ,$89.54 ,$111.32 ,$142.78 ,$192.39 ,$209.33 ,$232.32 ,-,-,-
122,$78.08 ,$90.28 ,$112.24 ,$143.96 ,$193.98 ,$211.06 ,$234.24 ,-,-,-
123,$78.72 ,$91.02 ,$113.16 ,$145.14 ,$195.57 ,$212.79 ,$236.16 ,-,-,-
124,$79.36 ,$91.76 ,$114.08 ,$146.32 ,$197.16 ,$214.52 ,$238.08 ,-,-,-
125,$80.00 ,$92.50 ,$115.00 ,$147.50 ,$198.75 ,$216.25 ,$240.00 ,-,-,-
126,$80.64 ,$93.24 ,$115.92 ,$148.68 ,$200.34 ,$217.98 ,$241.92 ,-,-,-
127,$81.28 ,$93.98 ,$116.84 ,$149.86 ,$201.93 ,$219.71 ,$243.84 ,-,-,-
128,$81.92 ,$94.72 ,$117.76 ,$151.04 ,$203.52 ,$221.44 ,$245.76 ,-,-,-
129,$82.56 ,$95.46 ,$118.68 ,$152.22 ,$205.11 ,$223.17 ,$247.68 ,-,-,-
130,$83.20 ,$96.20 ,$119.60 ,$153.40 ,$206.70 ,$224.90 ,$249.60 ,-,-,-
131,$83.84 ,$96.94 ,$120.52 ,$154.58 ,$208.29 ,$226.63 ,$251.52 ,-,-,-
132,$84.48 ,$97.68 ,$121.44 ,$155.76 ,$209.88 ,$228.36 ,$253.44 ,-,-,-
133,$85.12 ,$98.42 ,$122.36 ,$156.94 ,$211.47 ,$230.09 ,$255.36 ,-,-,-
134,$85.76 ,$99.16 ,$123.28 ,$158.12 ,$213.06 ,$231.82 ,$257.28 ,-,-,-
135,$86.40 ,$99.90 ,$124.20 ,$159.30 ,$214.65 ,$233.55 ,$259.20 ,-,-,-
136,$87.04 ,$100.64 ,$125.12 ,$160.48 ,$216.24 ,$235.28 ,$261.12 ,-,-,-
137,$87.68 ,$101.38 ,$126.04 ,$161.66 ,$217.83 ,$237.01 ,$263.04 ,-,-,-
138,$88.32 ,$102.12 ,$126.96 ,$162.84 ,$219.42 ,$238.74 ,$264.96 ,-,-,-
139,$88.96 ,$102.86 ,$127.88 ,$164.02 ,$221.01 ,$240.47 ,$266.88 ,-,-,-
140,$89.60 ,$103.60 ,$128.80 ,$165.20 ,$222.60 ,$242.20 ,$268.80 ,-,-,-
141,$90.24 ,$104.34 ,$129.72 ,$166.38 ,$224.19 ,$243.93 ,$270.72 ,-,-,-
142,$90.88 ,$105.08 ,$130.64 ,$167.56 ,$225.78 ,$245.66 ,$272.64 ,-,-,-
143,$91.52 ,$105.82 ,$131.56 ,$168.74 ,$227.37 ,$247.39 ,$274.56 ,-,-,-
144,$92.16 ,$106.56 ,$132.48 ,$169.92 ,$228.96 ,$249.12 ,$276.48 ,-,-,-
145,$92.80 ,$107.30 ,$133.40 ,$171.10 ,$230.55 ,$250.85 ,$278.40 ,-,-,-
146,$93.44 ,$108.04 ,$134.32 ,$172.28 ,$232.14 ,$252.58 ,$280.32 ,-,-,-
147,$94.08 ,$108.78 ,$135.24 ,$173.46 ,$233.73 ,$254.31 ,$282.24 ,-,-,-
148,$94.72 ,$109.52 ,$136.16 ,$174.64 ,$235.32 ,$256.04 ,$284.16 ,-,-,-
149,$95.36 ,$110.26 ,$137.08 ,$175.82 ,$236.91 ,$257.77 ,$286.08 ,-,-,-
150,$96.00 ,$111.00 ,$138.00 ,$177.00 ,$238.50 ,$259.50 ,$288.00 ,-,-,-


Hundredweight/Per-Pound Rates (multiply by total shipment weight),,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
100-499,$0.64 ,$0.74 ,$0.92 ,$1.18 ,$1.59 ,$1.73 ,$1.92 ,-,-,-
500-999,$0.62 ,$0.72 ,$0.90 ,$1.16 ,$1.57 ,$1.71 ,$1.90 ,-,-,-
1000-1999,$0.60 ,$0.70 ,$0.88 ,$1.14 ,$1.55 ,$1.69 ,$1.88 ,-,-,-
2000+,$0.58 ,$0.68 ,$0.86 ,$1.12 ,$1.53 ,$1.67 ,$1.86 ,-,-,-

See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
