FedEx Express U.S. Package Standard List Rates: FedEx Priority Overnight®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
61,$77.90 ,$105.05 ,$165.40 ,$177.90 ,$193.10 ,$199.30 ,$207.20 ,$210.25 ,$214.00 ,$162.75 
62,$79.75 ,$106.60 ,$167.75 ,$181.00 ,$196.35 ,$202.85 ,$211.25 ,$214.40 ,$217.75 ,$165.45 
63,$81.05 ,$108.70 ,$170.35 ,$183.85 ,$199.30 ,$206.35 ,$215.30 ,$218.50 ,$221.50 ,$168.15 
64,$82.60 ,$110.80 ,$172.40 ,$187.00 ,$202.85 ,$210.15 ,$218.80 ,$222.05 ,$225.05 ,$171.10 
65,$83.95 ,$112.60 ,$174.75 ,$190.65 ,$206.35 ,$213.40 ,$222.35 ,$225.65 ,$228.80 ,$173.80 
66,$85.50 ,$114.95 ,$177.90 ,$193.75 ,$209.90 ,$217.20 ,$226.40 ,$229.75 ,$231.75 ,$176.50 
67,$86.80 ,$117.00 ,$180.75 ,$197.15 ,$212.85 ,$221.00 ,$229.65 ,$233.05 ,$235.55 ,$179.75 
68,$88.65 ,$119.35 ,$183.85 ,$200.50 ,$215.85 ,$224.50 ,$233.20 ,$236.65 ,$239.30 ,$182.15 
69,$90.20 ,$121.95 ,$186.45 ,$203.65 ,$219.35 ,$227.75 ,$236.45 ,$239.95 ,$243.10 ,$185.40 
70,$92.05 ,$124.05 ,$189.85 ,$206.50 ,$222.35 ,$231.00 ,$239.95 ,$243.50 ,$246.60 ,$188.35 
71,$93.60 ,$127.40 ,$192.70 ,$209.35 ,$226.15 ,$235.05 ,$243.20 ,$246.80 ,$250.10 ,$191.35 
72,$94.90 ,$130.30 ,$195.55 ,$212.50 ,$229.10 ,$239.40 ,$247.55 ,$251.20 ,$254.15 ,$194.05 
73,$96.75 ,$132.65 ,$197.90 ,$216.10 ,$233.20 ,$243.20 ,$251.85 ,$255.60 ,$257.10 ,$197.00 
74,$98.30 ,$134.70 ,$200.75 ,$219.25 ,$235.60 ,$247.25 ,$255.95 ,$259.75 ,$260.60 ,$199.70 
75,$99.90 ,$136.25 ,$203.65 ,$222.10 ,$239.15 ,$250.80 ,$259.70 ,$263.55 ,$264.90 ,$202.65 
76,$101.45 ,$138.85 ,$206.50 ,$225.75 ,$242.10 ,$254.30 ,$263.80 ,$267.70 ,$268.40 ,$205.35 
77,$103.30 ,$140.95 ,$209.35 ,$228.60 ,$246.20 ,$257.55 ,$267.55 ,$271.50 ,$271.95 ,$208.60 
78,$105.10 ,$143.30 ,$213.25 ,$231.45 ,$249.95 ,$260.80 ,$271.10 ,$275.10 ,$275.45 ,$211.30 
79,$106.70 ,$145.65 ,$216.40 ,$234.85 ,$253.50 ,$264.60 ,$274.90 ,$278.95 ,$279.45 ,$214.50 
